"UF";"Cargo";"Nr";"Candidato";"Partido";"Coligação";"Situação";"Votação";"% Válidos";
"DF";"Presidente";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"580.581";"38,10"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"943.275";"61,90"
"";"";"";"";"";"";"";"1.523.856";""
"GO";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"1.365.658";"42,89"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"1.818.087";"57,11"
"";"";"";"";"";"";"";"3.183.745";""
"MS";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"590.835";"43,67"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"762.233";"56,33"
"";"";"";"";"";"";"";"1.353.068";""
"MT";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"717.230";"45,33"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"864.999";"54,67"
"";"";"";"";"";"";"";"7.642.898";""
"";"";"";"";"";"";"";"1.582.229";""
"";"";"";"";"";"";"";"7.642.898";""
"";"";"";"";"";"";"";"7.642.898";""
