"UF";"Cargo";"Nr";"Candidato";"Partido";"Coligação";"Situação";"Votação";"% Válidos";
"AC";"Presidente";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"138.922";"36,32"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"243.530";"63,68"
"";"";"";"";"";"";"";"382.452";""
"AM";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"1.033.090";"65,02"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"555.810";"34,98"
"";"";"";"";"";"";"";"1.588.900";""
"AP";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"227.414";"61,45"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"142.664";"38,55"
"";"";"";"";"";"";"";"370.078";""
"PA";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"2.103.829";"57,41"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"1.560.470";"42,59"
"";"";"";"";"";"";"";"3.664.299";""
"RO";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"364.055";"45,15"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"442.349";"54,85"
"";"";"";"";"";"";"";"806.404";""
"RR";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"97.329";"41,10"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"139.477";"58,90"
"";"";"";"";"";"";"";"236.806";""
"TO";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"428.662";"59,49"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"291.848";"40,51"
"";"";"";"";"";"";"";"7.769.449";""
"";"";"";"";"";"";"";"720.510";""
"";"";"";"";"";"";"";"7.769.449";""
"";"";"";"";"";"";"";"7.769.449";""
