"UF";"Cargo";"Nr";"Candidato";"Partido";"Coligação";"Situação";"Votação";"% Válidos";
"ES";"Presidente";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"911.906";"46,15"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"1.064.067";"53,85"
"";"";"";"";"";"";"";"1.975.973";""
"MG";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"5.979.422";"52,41"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"5.428.821";"47,59"
"";"";"";"";"";"";"";"11.408.243";""
"RJ";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"4.488.183";"54,94"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"3.681.088";"45,06"
"";"";"";"";"";"";"";"8.169.271";""
"SP";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"8.488.383";"35,69"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"15.296.289";"64,31"
"";"";"";"";"";"";"";"45.338.159";""
"";"";"";"";"";"";"";"23.784.672";""
"";"";"";"";"";"";"";"45.338.159";""
"";"";"";"";"";"";"";"45.338.159";""
