"UF";"Cargo";"Nr";"Candidato";"Partido";"Coligação";"Situação";"Votação";"% Válidos";
"PR";"Presidente";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"2.408.740";"39,02"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"3.765.025";"60,98"
"";"";"";"";"";"";"";"6.173.765";""
"RS";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"2.997.360";"46,47"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"3.452.455";"53,53"
"";"";"";"";"";"";"";"6.449.815";""
"SC";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"1.353.808";"35,41"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"2.469.079";"64,59"
"";"";"";"";"";"";"";"16.446.467";""
"";"";"";"";"";"";"";"3.822.887";""
"";"";"";"";"";"";"";"16.446.467";""
"";"";"";"";"";"";"";"16.446.467";""
